The model-log recall is: 0.6631953669553463
The model-log precession is: 0.9798197216093993






2022-09-30 00:09:40 Generation 0: 0.8553092891584174 ( {Fr=0.7574300015642108,Su=1.0,Pe=1.0,Of=0.8553092891584174,Gv=0.9659579000509879})
2022-09-30 00:09:40 Generation 1: 0.9259943396891422 ( {Fr=0.8768854463921728,Su=1.0,Pe=0.9992204663028843,Of=0.9259943396891422,Gv=0.9769469792792669})
2022-09-30 00:09:41 Generation 2: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:42 Generation 3: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:42 Generation 4: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:43 Generation 5: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:43 Generation 6: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:45 Generation 7: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:46 Generation 8: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:46 Generation 9: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:46 Generation 10: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:47 Generation 11: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:47 Generation 12: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:47 Generation 13: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:47 Generation 14: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:48 Generation 15: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
