The model-log recall is: 0.479010328273637
The model-log precession is: 0.6629388703886467



2022-10-05 00:30:58 Generation 0: 0.8553092891584174 ( {Fr=0.7574300015642108,Gv=0.9659579000509879,Pe=1.0,Su=1.0,Of=0.8553092891584174})
2022-10-05 00:30:58 Generation 1: 0.8678822744065808 ( {Fr=0.7790161113718129,Gv=0.9650307736899667,Pe=0.9997613555007557,Su=1.0,Of=0.8678822744065808})
2022-10-05 00:30:59 Generation 2: 0.8678822744065808 ( {Fr=0.7790161113718129,Gv=0.9650307736899667,Pe=0.9997613555007557,Su=1.0,Of=0.8678822744065808})
2022-10-05 00:31:00 Generation 3: 0.8921197631914642 ( {Fr=0.8214257781949007,Gv=0.9643278070618998,Pe=0.9974900770487976,Su=1.0,Of=0.8921197631914642})
2022-10-05 00:31:00 Generation 4: 0.8921197631914642 ( {Fr=0.8214257781949007,Gv=0.9643278070618998,Pe=0.9974900770487976,Su=1.0,Of=0.8921197631914642})
2022-10-05 00:31:01 Generation 5: 0.9087034885063846 ( {Fr=0.9676627887743288,Gv=0.7713245965505359,Pe=0.8125013640629433,Su=0.9375,Of=0.9087034885063846})
2022-10-05 00:31:02 Generation 6: 0.9087034885063846 ( {Fr=0.9676627887743288,Gv=0.7713245965505359,Pe=0.8125013640629433,Su=0.9375,Of=0.9087034885063846})
2022-10-05 00:31:02 Generation 7: 0.911586525998854 ( {Fr=0.9887798423112973,Gv=0.937815916236543,Pe=0.7342713205262006,Su=1.0,Of=0.911586525998854})
2022-10-05 00:31:03 Generation 8: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:04 Generation 9: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:05 Generation 10: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:07 Generation 11: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:07 Generation 12: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:08 Generation 13: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:09 Generation 14: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:09 Generation 15: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:10 Generation 16: 0.9173943402031588 ( {Fr=0.9645200419032917,Gv=0.9681806656391808,Pe=0.7964645397563208,Su=1.0,Of=0.9173943402031588})
2022-10-05 00:31:11 Generation 17: 0.9210363327746842 ( {Fr=0.9874014445608424,Gv=0.9607204669593535,Pe=0.7645765489203709,Su=1.0,Of=0.9210363327746842})
2022-10-05 00:31:12 Generation 18: 0.9210363327746842 ( {Fr=0.9874014445608424,Gv=0.9607204669593535,Pe=0.7645765489203709,Su=1.0,Of=0.9210363327746842})
2022-10-05 00:31:12 Generation 19: 0.9210363327746842 ( {Fr=0.9874014445608424,Gv=0.9607204669593535,Pe=0.7645765489203709,Su=1.0,Of=0.9210363327746842})
2022-10-05 00:31:13 Generation 20: 0.9210363327746842 ( {Fr=0.9874014445608424,Gv=0.9607204669593535,Pe=0.7645765489203709,Su=1.0,Of=0.9210363327746842})
2022-10-05 00:31:14 Generation 21: 0.9210363327746842 ( {Fr=0.9874014445608424,Gv=0.9607204669593535,Pe=0.7645765489203709,Su=1.0,Of=0.9210363327746842})
2022-10-05 00:31:14 Generation 22: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:15 Generation 23: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:15 Generation 24: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:16 Generation 25: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:17 Generation 26: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:17 Generation 27: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:18 Generation 28: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:19 Generation 29: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:19 Generation 30: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:20 Generation 31: 0.9394228962437176 ( {Fr=0.9941907867916836,Gv=0.9375490689591287,Pe=0.8181464598534468,Su=1.0,Of=0.9394228962437176})
2022-10-05 00:31:20 Generation 32: 0.9449012520669579 ( {Fr=0.9883560945780677,Gv=0.7832789008850665,Pe=0.9078677162659365,Su=0.8571428571428572,Of=0.9449012520669579})
2022-10-05 00:31:21 Generation 33: 0.9449012520669579 ( {Fr=0.9883560945780677,Gv=0.7832789008850665,Pe=0.9078677162659365,Su=0.8571428571428572,Of=0.9449012520669579})
